Priority	2dda7p[c]	e4p[c]	pep[c]	pi[c]	param_DDPA_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\haldaneRatio_1.txt"	1.4e12
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\haldaneRatio_1.txt"	1.4e12
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\haldaneRatio_1.txt"	1.4e12
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\haldaneRatio_1.txt"	1.4e12
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\haldaneRatio_1.txt"	1.4e12
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\haldaneRatio_1.txt"	1.4e12
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\haldaneRatio_1.txt"	1.4e12
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\haldaneRatio_1.txt"	1.4e12
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\haldaneRatio_1.txt"	1.4e12
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\haldaneRatio_1.txt"	1.4e12
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\haldaneRatio_1.txt"	1.4e12
1	0	9.65e-6	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\relRateFor_e4p.txt"	0.09090909090909091
1	0	0.000015294219307249752	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\relRateFor_e4p.txt"	0.13680688860321008
1	0	0.00002423970406406747	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\relRateFor_e4p.txt"	0.2007600089131019
1	0	0.000038417341958412536	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\relRateFor_e4p.txt"	0.28474724895080167
1	0	0.000060887383742338634	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\relRateFor_e4p.txt"	0.386863179846857
1	0	0.00009650000000000001	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\relRateFor_e4p.txt"	0.5
1	0	0.00015294219307249754	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\relRateFor_e4p.txt"	0.6131368201531431
1	0	0.0002423970406406747	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\relRateFor_e4p.txt"	0.7152527510491988
1	0	0.00038417341958412495	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\relRateFor_e4p.txt"	0.7992399910868984
1	0	0.0006088738374233863	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\relRateFor_e4p.txt"	0.8631931113967899
1	0	0.0009650000000000001	1	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\relRateFor_e4p.txt"	0.9090909090909091
1	0	1	5.849999999999994e-7	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\relRateFor_pep.txt"	0.09090909090909081
1	0	1	9.271625175897508e-7	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\relRateFor_pep.txt"	0.13680688860320994
1	0	1	1.469453562433104e-6	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\relRateFor_pep.txt"	0.20076000891310172
1	0	1	2.3289269477379595e-6	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\relRateFor_pep.txt"	0.28474724895080145
1	0	1	3.6911004652091252e-6	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\relRateFor_pep.txt"	0.38686317984685664
1	0	1	5.849999999999994e-6	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\relRateFor_pep.txt"	0.49999999999999983
1	0	1	9.271625175897507e-6	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\relRateFor_pep.txt"	0.613136820153143
1	0	1	0.00001469453562433104	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\relRateFor_pep.txt"	0.7152527510491986
1	0	1	0.000023289269477379593	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\relRateFor_pep.txt"	0.7992399910868984
1	0	1	0.00003691100465209125	0	1	7	37	"C:\MASSef\Enzyme\DDPA\fit_DDPA_typeII\input\relRateFor_pep.txt"	0.8631931113967899
