Priority	23dpg[c]	2pg[c]	3pg[c]	param_PGMd_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/haldaneRatio_1.txt"	0.189
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/haldaneRatio_1.txt"	0.189
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/haldaneRatio_1.txt"	0.189
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/haldaneRatio_1.txt"	0.189
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/haldaneRatio_1.txt"	0.189
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/haldaneRatio_1.txt"	0.189
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/haldaneRatio_1.txt"	0.189
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/haldaneRatio_1.txt"	0.189
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/haldaneRatio_1.txt"	0.189
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/haldaneRatio_1.txt"	0.189
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/haldaneRatio_1.txt"	0.189
1	0.0001	0	0.00002	1	7	30	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/relRateFor_3pg.txt"	0.09090909090909091
1	0.0001	0	0.00003169786384922229	1	7	30	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/relRateFor_3pg.txt"	0.13680688860321008
1	0.0001	0	0.00005023772863019165	1	7	30	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/relRateFor_3pg.txt"	0.2007600089131019
1	0.0001	0	0.00007962143411069939	1	7	30	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/relRateFor_3pg.txt"	0.2847472489508013
1	0.0001	0	0.0001261914688960386	1	7	30	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/relRateFor_3pg.txt"	0.38686317984685686
1	0.0001	0	0.00020000000000000004	1	7	30	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/relRateFor_3pg.txt"	0.5
1	0.0001	0	0.0003169786384922229	1	7	30	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/relRateFor_3pg.txt"	0.6131368201531432
1	0.0001	0	0.0005023772863019165	1	7	30	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/relRateFor_3pg.txt"	0.7152527510491988
1	0.0001	0	0.0007962143411069948	1	7	30	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/relRateFor_3pg.txt"	0.7992399910868982
1	0.0001	0	0.0012619146889603862	1	7	30	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/relRateFor_3pg.txt"	0.8631931113967899
1	0.0001	0	0.0020000000000000005	1	7	30	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/relRateFor_3pg.txt"	0.9090909090909091
1	0.0001	0.000018999999999999994	0	1	7	30	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/relRateRev_2pg.txt"	0.09090909090909087
1	0.0001	0.00003011297065676116	0	1	7	30	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/relRateRev_2pg.txt"	0.13680688860321003
1	0.0001	0.00004772584219868205	0	1	7	30	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/relRateRev_2pg.txt"	0.20076000891310186
1	0.0001	0.0000756403624051644	0	1	7	30	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/relRateRev_2pg.txt"	0.2847472489508012
1	0.0001	0.00011988189545123664	0	1	7	30	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/relRateRev_2pg.txt"	0.38686317984685686
1	0.0001	0.00018999999999999996	0	1	7	30	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/relRateRev_2pg.txt"	0.49999999999999994
1	0.0001	0.0003011297065676116	0	1	7	30	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/relRateRev_2pg.txt"	0.6131368201531432
1	0.0001	0.0004772584219868205	0	1	7	30	"/home/mrama/Dropbox/MASSef/examples/PGMd/fit_PGMd/input/relRateRev_2pg.txt"	0.7152527510491987
