Keq_G6PDH2r	6pgl[c]	g6p[c]	nad[c]	nadp[c]	nadph[c]	param_E_total	param_pH	param_Temp	FileFlag	Target_Data
18.3	0	0.000014499999815598129	0.01	0.00018000000272877514	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/relRateFor_g6p.txt	0.0909090909090909
18.3	0	0.000022980950998428884	0.01	0.00018000000272877514	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/relRateFor_g6p.txt	0.13680688860321005
18.3	0	0.00003642235279369238	0.01	0.00018000000272877514	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/relRateFor_g6p.txt	0.20076000891310186
18.3	0	0.0000577255389961401	0.01	0.00018000000272877514	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/relRateFor_g6p.txt	0.28474724895080167
18.3	0	0.00009148881378613084	0.01	0.00018000000272877514	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/relRateFor_g6p.txt	0.38686317984685686
18.3	0	0.0001449999981559813	0.01	0.00018000000272877514	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/relRateFor_g6p.txt	0.5
18.3	0	0.00022980950998428886	0.01	0.00018000000272877514	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/relRateFor_g6p.txt	0.6131368201531431
18.3	0	0.00036422352793692383	0.01	0.00018000000272877514	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/relRateFor_g6p.txt	0.7152527510491986
18.3	0	0.0005772553899614005	0.01	0.00018000000272877514	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/relRateFor_g6p.txt	0.7992399910868984
18.3	0	0.0009148881378613084	0.01	0.00018000000272877514	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/relRateFor_g6p.txt	0.86319311139679
18.3	0	0.0014499999815598128	0.01	0.00018000000272877514	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/relRateFor_g6p.txt	0.9090909090909092
18.3	0	0.0010000000474974513	0.01	1.4999999621068124e-6	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/relRateFor_nadp.txt	0.0909090909090909
18.3	0	0.0010000000474974513	0.01	2.377339728635016e-6	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/relRateFor_nadp.txt	0.13680688860321003
18.3	0	0.0010000000474974513	0.01	3.7678295520809897e-6	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/relRateFor_nadp.txt	0.20076000891310186
18.3	0	0.0010000000474974513	0.01	5.97160740744697e-6	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/relRateFor_nadp.txt	0.28474724895080167
18.3	0	0.0010000000474974513	0.01	9.464359928113045e-6	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/relRateFor_nadp.txt	0.38686317984685675
18.3	0	0.0010000000474974513	0.01	0.000014999999621068126	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/relRateFor_nadp.txt	0.49999999999999994
18.3	0	0.0010000000474974513	0.01	0.000023773397286350164	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/relRateFor_nadp.txt	0.6131368201531432
18.3	0	0.0010000000474974513	0.01	0.0000376782955208099	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/relRateFor_nadp.txt	0.7152527510491987
18.3	0	0.0010000000474974513	0.01	0.0000597160740744697	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/relRateFor_nadp.txt	0.7992399910868985
18.3	0	0.0010000000474974513	0.01	0.00009464359928113045	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/relRateFor_nadp.txt	0.86319311139679
18.3	0	0.0010000000474974513	0.01	0.00014999999621068125	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/relRateFor_nadp.txt	0.9090909090909091
18.3	0	0	0	0	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/haldaneRatio.txt	18.3
18.3	0	0	0	0	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/haldaneRatio.txt	18.3
18.3	0	0	0	0	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/haldaneRatio.txt	18.3
18.3	0	0	0	0	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/haldaneRatio.txt	18.3
18.3	0	0	0	0	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/haldaneRatio.txt	18.3
18.3	0	0	0	0	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/haldaneRatio.txt	18.3
18.3	0	0	0	0	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/haldaneRatio.txt	18.3
18.3	0	0	0	0	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/haldaneRatio.txt	18.3
18.3	0	0	0	0	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/haldaneRatio.txt	18.3
18.3	0	0	0	0	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/haldaneRatio.txt	18.3
18.3	0	0	0	0	0	1	8	25.	/home/mrama/Dropbox/Kinetics/Enzymes_new/G6PDH2r/Parameter_Fitting/Development/haldaneRatio.txt	18.3
