Priority	e4p[c]	f6p[c]	g3p[c]	xu5p__D[c]	param_TKT2_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/haldaneRatio_1.txt"	59.6
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/haldaneRatio_1.txt"	59.6
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/haldaneRatio_1.txt"	59.6
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/haldaneRatio_1.txt"	59.6
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/haldaneRatio_1.txt"	59.6
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/haldaneRatio_1.txt"	59.6
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/haldaneRatio_1.txt"	59.6
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/haldaneRatio_1.txt"	59.6
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/haldaneRatio_1.txt"	59.6
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/haldaneRatio_1.txt"	59.6
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/haldaneRatio_1.txt"	59.6
1	9.000000000000007e-6	0	0	0.016	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/relRateFor_e4p.txt"	0.09090909090909098
1	0.000014264038732150038	0	0	0.016	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/relRateFor_e4p.txt"	0.13680688860321014
1	0.000022606977883586257	0	0	0.016	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/relRateFor_e4p.txt"	0.20076000891310197
1	0.00003582964534981475	0	0	0.016	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/relRateFor_e4p.txt"	0.2847472489508014
1	0.00005678616100321741	0	0	0.016	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/relRateFor_e4p.txt"	0.38686317984685703
1	0.00009000000000000007	0	0	0.016	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/relRateFor_e4p.txt"	0.5000000000000002
1	0.00014264038732150037	0	0	0.016	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/relRateFor_e4p.txt"	0.6131368201531432
1	0.00022606977883586258	0	0	0.016	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/relRateFor_e4p.txt"	0.7152527510491988
1	0.00035829645349814786	0	0	0.016	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/relRateFor_e4p.txt"	0.7992399910868985
1	0.0005678616100321741	0	0	0.016	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/relRateFor_e4p.txt"	0.86319311139679
1	0.0009000000000000007	0	0	0.016	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/relRateFor_e4p.txt"	0.9090909090909093
1	0.009	0	0	0.00001600000000000001	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/relRateFor_xu5p__D.txt"	0.09090909090909095
1	0.009	0	0	0.00002535829107937784	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/relRateFor_xu5p__D.txt"	0.13680688860321008
1	0.009	0	0	0.00004019018290415334	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/relRateFor_xu5p__D.txt"	0.20076000891310194
1	0.009	0	0	0.00006369714728855955	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/relRateFor_xu5p__D.txt"	0.28474724895080133
1	0.009	0	0	0.00010095317511683093	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TKT2_typeII/input/relRateFor_xu5p__D.txt"	0.386863179846857
