Entry ID,Recommended Enzyme Name,Reaction ID,Enzymatic Activity,EC Number,Gene,Organism,Strain/Tissue,Reaction,Cofactor,Cofactor Concentration,Substrate,Value Type,Value,Deviation,Units,Structure,Regulation,Regulation Mechanism,pH,Temp (øC),Buffer/Media,Uniprot,References,Data Point,Notes
1,phosphoribosylanthranilate isomerase,,,5.3.1.24,,Escherichia coli,,N-(5-phospho-beta-D-ribosyl)anthranilate <=> 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,,N-(5-phospho-beta-D-ribosyl)anthranilate,Km,0.0047,,mM,,,,,25,,,RF1,,256-452]
2,phosphoribosylanthranilate isomerase,,,5.3.1.24,,Escherichia coli,,N-(5-phospho-beta-D-ribosyl)anthranilate <=> 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,,N-(5-phospho-beta-D-ribosyl)anthranilate,Km,0.0047,,mM,,,,7.5,25,,,RF2,,256-452];
3,phosphoribosylanthranilate isomerase,,,5.3.1.24,,Escherichia coli,,N-(5-phospho-beta-D-ribosyl)anthranilate <=> 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,,N-(5-phospho-beta-D-ribosyl)anthranilate,Km,0.0049,,mM,,,,,25,,,RF1,,
4,phosphoribosylanthranilate isomerase,,,5.3.1.24,,Escherichia coli,,N-(5-phospho-beta-D-ribosyl)anthranilate <=> 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,,N-(5-phospho-beta-D-ribosyl)anthranilate,Km,0.0049,,mM,,,,7.5,25,,,RF3,,
5,phosphoribosylanthranilate isomerase,,,5.3.1.24,,Escherichia coli,,N-(5-phospho-beta-D-ribosyl)anthranilate <=> 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,,N-(5-phospho-beta-D-ribosyl)anthranilate,Km,0.0049,,mM,,,,,,,,RF4,,
6,phosphoribosylanthranilate isomerase,,,5.3.1.24,,Escherichia coli,,N-(5-phospho-beta-D-ribosyl)anthranilate <=> 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,,N-(5-phospho-beta-D-ribosyl)anthranilate,Km,0.0049,,mM,,,,7.5,25,,,RF2,,
7,phosphoribosylanthranilate isomerase,,,5.3.1.24,,Escherichia coli,,N-(5-phospho-beta-D-ribosyl)anthranilate <=> 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,,N-(5-phospho-beta-D-ribosyl)anthranilate,Km,0.007,,mM,,,,7.5,20,,,RF5,,
8,phosphoribosylanthranilate isomerase,,,5.3.1.24,,Escherichia coli,,N-(5-phospho-beta-D-ribosyl)anthranilate <=> 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,,N-(5-phospho-beta-D-ribosyl)anthranilate,kcat,32,,1/s,,,,,25,,,RF1,,256-452]
9,phosphoribosylanthranilate isomerase,,,5.3.1.24,,Escherichia coli,,N-(5-phospho-beta-D-ribosyl)anthranilate <=> 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,,N-(5-phospho-beta-D-ribosyl)anthranilate,kcat,32,,1/s,,,,7.5,25,,,RF2,,256-452];
10,phosphoribosylanthranilate isomerase,,,5.3.1.24,,Escherichia coli,,N-(5-phospho-beta-D-ribosyl)anthranilate <=> 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,,N-(5-phospho-beta-D-ribosyl)anthranilate,kcat,39,,1/s,,,,7.5,20,,,RF5,,
