Priority	dhap[c]	g3p[c]	param_TPI_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\haldaneRatio_1.txt"	0.107
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\haldaneRatio_1.txt"	0.107
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\haldaneRatio_1.txt"	0.107
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\haldaneRatio_1.txt"	0.107
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\haldaneRatio_1.txt"	0.107
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\haldaneRatio_1.txt"	0.107
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\haldaneRatio_1.txt"	0.107
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\haldaneRatio_1.txt"	0.107
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\haldaneRatio_1.txt"	0.107
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\haldaneRatio_1.txt"	0.107
1	0	0	1	7.5	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\haldaneRatio_1.txt"	0.107
1	0	0.00010300000000000006	1	7.6	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\relRateRev_g3p.txt"	0.09090909090909097
1	0	0.00016324399882349484	1	7.6	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\relRateRev_g3p.txt"	0.1368068886032101
1	0	0.00025872430244548684	1	7.6	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\relRateRev_g3p.txt"	0.2007600089131018
1	0	0.0004100503856701025	1	7.6	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\relRateRev_g3p.txt"	0.28474724895080156
1	0	0.0006498860648145998	1	7.6	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\relRateRev_g3p.txt"	0.3868631798468572
1	0	0.0010300000000000005	1	7.6	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\relRateRev_g3p.txt"	0.5000000000000001
1	0	0.0016324399882349486	1	7.6	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\relRateRev_g3p.txt"	0.6131368201531433
1	0	0.0025872430244548686	1	7.6	25	"C:\MASSef\examples\Manuscript_Fitting\fit_TPI_typeII\input\relRateRev_g3p.txt"	0.7152527510491986
