ENO,ec_number,4.2.1.11,,,,,,,,,,,,,
,organism,E. coli,,,,,,,,,,,,,
,reaction,2pg[c] <-> h2o[c] + pep[c],,,,,,,,,,,,,
,,,,experiment,reference (PMID),strain,notes,,,,,,,,
,mechanism,Null,Null,,,,,,,,,,,,
,structure,2,,Crystallography,11676541,E. coli strain BL21(DE3) w/ pET11a w/ Eno,,,,,,,,,
,active_sites,2,,Crystallography,11676541,E. coli strain BL21(DE3) w/ pET11a w/ Eno,,,,,,,,,
,allosteric_sites,0,,,,,,,,,,,,,
,parameter type,metabolite,value,uncertainty,"cosubstrate,concentration",unit,pH,temperature,"buffer,concentration","salts,concentration",other info,experiment,reference,strain,notes
,Keq,"2pg,Null",5.19,,,,7.5,,,,,,equilibrator,,Is=0.25
,Km,2pg,0.0001,,"mg2,0.001;so4,0.001",M,8.1,30,"trishcl,0.05","cl,0.1;k,0.1",,Not Reported,4942326,E. coli strain B,
,kcat,"2pg,Null",330,,,1/s,8.1,30,"trishcl,0.05","cl,0.1;k,0.1","fake, mendes kcat* 10^-3 / 10^-5",,,,
GAPD,ec_number,1.2.1.12,,,,,,,,,,,,,
,organism,E. coli,,,,,,,,,,,,,
,reaction,g3p[c] + nad[c] + pi[c] <-> 13dpg[c] + h[c] + nadh[c],,,,,,,,,,,,,
,,,,experiment,reference (PMID),strain,notes,,,,,,,,
,mechanism,Ordered Sequential Bi Bi,"[nad,g3p,pi,13dpg,nadh]",,7447472,Homo Sapiens,,,,,,,,,
,structure,4,,Crystallography,8636984,E. coli strain DF221 w/ pBR322::EcoGAPDH,,,,,,,,,
,active_sites,4,,Crystallography,8636984,E. coli strain DF221 w/ pBR322::EcoGAPDH,,,,,,,,,
,allosteric_sites,0,,,,,,,,,,,,,
,parameter type,metabolite,value,uncertainty,"cosubstrate,concentration",unit,pH,temperature,"buffer,concentration","salts,concentration",other info,experiment,reference,strain,notes
,Keq,"g3p,Null;nad,Null;pi,Null",0.452,,,,7,,,,,,equilibrator,,
,Km,nad,0.000045,"0.000041,0.000049","pi,0.053;g3p,0.089",M,8.9,22,"teoa,0.04",,,Not Reported,10190977,E. coli strain DS112,"Cosubtrates at saturating concentrations, assuming x100 Km"
,Km,g3p,0.00089,"0.00072,0.00106","nad,0.0045;pi,0.053",M,8.9,22,"teoa,0.04",,,Not Reported,10190977,E. coli strain DS112,"Cosubtrates at saturating concentrations, assuming x100 Km"
,Km,pi,0.00053,"0.00042,0.00064","nad,0.0045;g3p,0.089",M,8.9,22,"teoa,0.04",,,Not Reported,10190977,E. coli strain DS112,"Cosubtrates at saturating concentrations, assuming x100 Km"
