ENO,ec_number,4.2.1.11,,,,,,,,,,,,,
,organism,E. coli,,,,,,,,,,,,,
,reaction,2pg[c] <-> h2o[c] + pep[c],,,,,,,,,,,,,
,,,,experiment,reference (PMID),strain,notes,,,,,,,,
,mechanism,Null,Null,,,,,,,,,,,,
,structure,2,,Crystallography,11676541,E. coli strain BL21(DE3) w/ pET11a w/ Eno,,,,,,,,,
,active_sites,2,,Crystallography,11676541,E. coli strain BL21(DE3) w/ pET11a w/ Eno,,,,,,,,,
,allosteric_sites,0,,,,,,,,,,,,,
,parameter type,metabolite,value,uncertainty,"cosubstrate,concentration",unit,pH,temperature,"buffer,concentration","salts,concentration",other info,experiment,reference,strain,notes
,Keq,"2pg,Null",5.19,,,,7.5,,,,,,equilibrator,,Is=0.25
,Km,2pg,0.0001,,"mg2,0.001;so4,0.001",M,8.1,30,"trishcl,0.05","cl,0.1;k,0.1",,Not Reported,4942326,E. coli strain B,
,kcat,"2pg,Null",330,,,1/s,8.1,30,"trishcl,0.05","cl,0.1;k,0.1","fake, mendes kcat* 10^-3 / 10^-5",,,,
FBA1,ec_number,4.1.2.13,,,,,,,,,,,,,
,organism,E. coli,,,,,,,,,,,,,
,reaction,fdp[c] <-> dhap[c] + g3p[c],,,,,,,,,,,,,
,,,,experiment,reference (PMID),strain,notes,,,,,,,,
,mechanism,Ordered Sequential Uni Bi,"[fdp,g3p,dhap]",,2649077,,Based off of a general class I aldolase mechanism,,,,,,,,
,structure,8-10,,SDS-PAGE,"348198, 9531482",E. coli (Crookes' strain),"High likelyhood of error in this number. Previous studies assumed that the E. coli enzyme was tetrameric, being structurally similar to other class I aldolases, but this study, although not precise, concluded that the enzyme was much larger",,,,,,,,
,active_sites,,,,,,,,,,,,,,
,allosteric_sites,,,,,,,,,,,,,,
,parameter type,metabolite,value,uncertainty,"cosubstrate,concentration",unit,pH,temperature,"buffer,concentration","salts,concentration",other info,experiment,reference,strain,notes
,Keq,"fdp,Null",0.00016,,,,7.5,,,,,,equilibrator,,Is=0.25
,Km,fdp,0.00002,,,M,7.5,30,"trishcl,0.05",,,Lineweaver-Burk,4198624,E. coli (Crookes' strain),"Stribling et al; Apparent value and estimated off of a linear portion of a curve; It is conceivable that some proteolysis may have occurred during the purification of aldolase 1 that has produced a mixture of native enzyme and a partially digested form, with altered affinity for substrate and decreased specific activity"
,kcat,"fdp,Null",0.217,"0.21,0.223",,1/s,8,30,"trishcl,0.05",,,Kinetic parameters were measured by non-linear re-gression analysis [26],9531482,E. coli strain KM3,Thomson et al; Not 100% sure on strain; 
