ENO,ec_number,4.2.1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,organism,E. coli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,reaction,2pg[c] <-> h2o[c] + pep[c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,type,order,experiment,reference (PMID),strain,notes,,,,,,,,,,,,,,,,,,,,,,,,,
,mechanism,Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,structure,2,,Crystallography,RF143,E. coli strain BL21(DE3) w/ pET11a w/ Eno,,,,,,,,,,,,,,,,,,,,,,,,,,
,active_sites,2,,Crystallography,RF143,E. coli strain BL21(DE3) w/ pET11a w/ Eno,,,,,,,,,,,,,,,,,,,,,,,,,,
,allosteric_sites,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,parameter type,metabolite,value,uncertainty,"cosubstrate,concentration",unit,pH,temperature,"buffer,concentration","salts,concentration",other info,ionic strength,experiment,reference,strain,notes,,,,,,,,,,,,,,,,
,Keq,"2pg,Null",6.69595445,,,,7.5,,,,,,,Adjustment_Dan,,,,,,,,,,,,,,,,,,
,kcat,"2pg,Null",24,,,1/s,7.5,37,,,,,,Milos Dataset,,kappmax,,,,,,,,,,,,,,,,
,Km,2pg,0.0001,,"mg2,0.001;so4,0.001", ,8.1,30,"trishcl,0.05","cl,0.1;k,0.1",,,Not Reported,RF107,E. coli strain B,,,,,,,,,,,,,,,,,
,kcat,"2pg,Null",100,,,1/s,8.1,30,"trishcl,0.05","cl,0.1;k,0.1",,,,,,,,,,,,,,,,,,,,,,
FBA1,ec_number,4.1.2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,organism,E. coli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,reaction,fdp[c] <-> dhap[c] + g3p[c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,type,order,experiment,reference (PMID),strain,notes,,,,,,,,,,,,,,,,,,,,,,,,,
,mechanism,Ordered Sequential Uni Bi,"[fdp,g3p,dhap]",,RF66,,Based off of a general class I aldolase mechanism,,,,,,,,,,,,,,,,,,,,,,,,,
,structure,42957,,SDS-PAGE,"348198, 9531482",E. coli (Crookes' strain),"High likelyhood of error in this number. Previous studies assumed that the E. coli enzyme was tetrameric, being structurally similar to other class I aldolases, but this study, although not precise, concluded that the enzyme was much larger",,,,,,,,,,,,,,,,,,,,,,,,,
,active_sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,allosteric_sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
