Priority	r5p[c]	ru5p__D[c]	ara5p[c]	param_RPIa_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/haldaneRatio_1.txt"	0.443
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/haldaneRatio_1.txt"	0.443
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/haldaneRatio_1.txt"	0.443
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/haldaneRatio_1.txt"	0.443
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/haldaneRatio_1.txt"	0.443
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/haldaneRatio_1.txt"	0.443
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/haldaneRatio_1.txt"	0.443
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/haldaneRatio_1.txt"	0.443
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/haldaneRatio_1.txt"	0.443
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/haldaneRatio_1.txt"	0.443
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/haldaneRatio_1.txt"	0.443
1	0.00030999999999999995	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.0909090909090909
1	0.0004913168896629453	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.13680688860321005
1	0.0007786847937679696	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.20076000891310172
1	0.0012341322287158416	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.28474724895080145
1	0.0019559677678886002	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.38686317984685714
1	0.0031	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.49999999999999994
1	0.004913168896629454	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.6131368201531431
1	0.007786847937679696	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.7152527510491985
1	0.012341322287158417	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.7992399910868982
1	0.01955967767888599	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.86319311139679
1	0.030999999999999996	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/relRateFor_r5p.txt"	0.9090909090909091
1	0.01	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/absRateFor.txt"	2100.
1	0.01	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/absRateFor.txt"	2100.
1	0.01	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/absRateFor.txt"	2100.
1	0.01	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/absRateFor.txt"	2100.
1	0.01	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/absRateFor.txt"	2100.
1	0.01	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/absRateFor.txt"	2100.
1	0.01	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/absRateFor.txt"	2100.
1	0.01	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_RPIa_typeII/input/absRateFor.txt"	2100.
