Priority	3psme[c]	chor[c]	pi[c]	param_CHORS_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/haldaneRatio_1.txt"	2.7e8
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/haldaneRatio_1.txt"	2.7e8
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/haldaneRatio_1.txt"	2.7e8
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/haldaneRatio_1.txt"	2.7e8
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/haldaneRatio_1.txt"	2.7e8
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/haldaneRatio_1.txt"	2.7e8
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/haldaneRatio_1.txt"	2.7e8
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/haldaneRatio_1.txt"	2.7e8
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/haldaneRatio_1.txt"	2.7e8
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/haldaneRatio_1.txt"	2.7e8
1	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/haldaneRatio_1.txt"	2.7e8
0.1	1.3000000000000005e-7	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/relRateFor_3psme.txt"	0.09090909090909094
0.1	2.0603611501994493e-7	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/relRateFor_3psme.txt"	0.1368068886032101
0.1	3.265452360962458e-7	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/relRateFor_3psme.txt"	0.20076000891310192
0.1	5.175393217195462e-7	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/relRateFor_3psme.txt"	0.28474724895080133
0.1	8.202445478242512e-7	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/relRateFor_3psme.txt"	0.386863179846857
0.1	1.3000000000000005e-6	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/relRateFor_3psme.txt"	0.5000000000000001
0.1	2.0603611501994493e-6	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_CHORS_typeII/input/relRateFor_3psme.txt"	0.6131368201531433
