Entry ID,Recommended Enzyme Name,Reaction ID,Enzymatic Activity,EC Number,Gene,Organism,Strain/Tissue,Reaction,Cofactor,Cofactor Concentration,Substrate,Value Type,Value,Deviation,Units,Structure,Regulation,Regulation Mechanism,pH,Temp (¿C),Buffer/Media,Uniprot,References,Data Point,Notes
1,anthranilate phosphoribosyltransferase,,,2.4.2.18,,Escherichia coli,,,,,5-phospho-alpha-D-ribose 1-diphosphate,Km,0.1,,mM,,,,,,,,RF1,,complex
2,anthranilate phosphoribosyltransferase,,,2.4.2.18,,Escherichia coli,,,,,5-phospho-alpha-D-ribose 1-diphosphate,Km,0.2,,mM,,,,,,,,RF1,,component II
3,anthranilate phosphoribosyltransferase,,,2.4.2.18,,Escherichia coli,,,,,5-phospho-alpha-D-ribose 1-diphosphate,kcat,4.4,,1/s,,,,,,,,RF2,,
4,anthranilate phosphoribosyltransferase,,,2.4.2.18,,Escherichia coli,,,,,anthranilate,kcat,4.4,,1/s,,,,,,,,RF2,,
5,anthranilate synthase subunit TrpD,,,2.4.2.18,trpD,Escherichia coli ,K-12 substr. MG1655,N-(5-phosphoribosyl)-anthranilate + diphosphate  _  anthranilate + 5-phospho-_-D-ribose 1-diphosphate Enzymes:      anthranilate synthase subunit TrpD trpD,"Mg2+, ",,anthranilate,Km ,0.58,,_M,,Inhib. 7-methyl-L-tryptophan; Inhib. L-tryptophan; Inhib. L-tryptophan; ,Inhib. Competitive; Inhib. Noncompetitive; ,,,,P00904,RF4,,
6,anthranilate synthase subunit TrpD,,,2.4.2.18,trpD,Escherichia coli ,K-12 substr. MG1655,N-(5-phosphoribosyl)-anthranilate + diphosphate  _  anthranilate + 5-phospho-_-D-ribose 1-diphosphate Enzymes:      anthranilate synthase subunit TrpD trpD,"Mg2+, ",,5-phospho-_-D-ribose 1-diphosphate,Km ,50,,_M,,Inhib. 7-methyl-L-tryptophan; Inhib. L-tryptophan; Inhib. L-tryptophan; ,Inhib. Competitive; Inhib. Noncompetitive; ,,,,P00904,RF4,,
7,anthranilate synthase subunit TrpD,,,2.4.2.18,trpD,Escherichia coli ,K-12 substr. MG1655,N-(5-phosphoribosyl)-anthranilate + diphosphate  _  anthranilate + 5-phospho-_-D-ribose 1-diphosphate Enzymes:      anthranilate synthase subunit TrpD trpD,"Mg2+, ",,chorismate,Km ,1.2,,_M,,Inhib. 7-methyl-L-tryptophan; Inhib. L-tryptophan; Inhib. L-tryptophan; ,Inhib. Competitive; Inhib. Noncompetitive; ,,,,P00904,RF4,,
8,anthranilate synthase subunit TrpD,,,2.4.2.18,trpD,Escherichia coli ,K-12 substr. MG1655,N-(5-phosphoribosyl)-anthranilate + diphosphate  _  anthranilate + 5-phospho-_-D-ribose 1-diphosphate Enzymes:      anthranilate synthase subunit TrpD trpD,"Mg2+, ",,chorismate,Km ,5.5,,_M,,Inhib. 7-methyl-L-tryptophan; Inhib. L-tryptophan; Inhib. L-tryptophan; ,Inhib. Competitive; Inhib. Noncompetitive; ,,,,P00904,RF4,,
9,Bifunctional protein TrpGD,AS,,,trpGDtrpD,Escherichia coli,strain K12,Chorismate + L-glutamine = anthranilate + pyruvate + L-glutamate,,,chorismate ,KM,1.2,, ¾M,Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE),"['Cooperatively feedback inhibited by tryptophan', '3 PublicationsRef', '7""Anthranilate synthetase', 'Partial purification and some kinetic studies on the enzyme from Escherichia coli', '""Baker T', 'I', ', Crawford I', 'P', 'J', 'Biol', 'Chem', '241:5577-5584(1966)  [PubMed] [Europe PMC] [Abstract]Cited for: FUNCTION, BIOPHYSICOCHEMICAL PROPERTIES, ENZYME REGULATION', 'Ref', '8""Feedback regulation in the anthranilate aggregate from wild type and mutant strains of Escherichia coli', '""Pabst M', 'J', ', Kuhn J', 'C', ', Somerville R', 'L', 'J', 'Biol', 'Chem', '248:901-914(1973)  [PubMed] [Europe PMC] [Abstract]Cited for: FUNCTION, BIOPHYSICOCHEMICAL PROPERTIES, ENZYME REGULATION', 'Ref', '9""The anthranilate aggregate of Escherichia coli: kinetics of inhibition by tryptophan of phosphoribosyltransferase']",,7.5,,,P00904,RF6,,
10,Bifunctional protein TrpGD,AS,,,trpGDtrpD,Escherichia coli,strain K12,Chorismate + L-glutamine = anthranilate + pyruvate + L-glutamate,,,chorismate ,KM,5,, ¾M,Heterotetramer consisting of two non-identical subunits: a beta subunit (TrpG) and a large alpha subunit (TrpE),"['Cooperatively feedback inhibited by tryptophan', '3 PublicationsRef', '7""Anthranilate synthetase', 'Partial purification and some kinetic studies on the enzyme from Escherichia coli', '""Baker T', 'I', ', Crawford I', 'P', 'J', 'Biol', 'Chem', '241:5577-5584(1966)  [PubMed] [Europe PMC] [Abstract]Cited for: FUNCTION, BIOPHYSICOCHEMICAL PROPERTIES, ENZYME REGULATION', 'Ref', '8""Feedback regulation in the anthranilate aggregate from wild type and mutant strains of Escherichia coli', '""Pabst M', 'J', ', Kuhn J', 'C', ', Somerville R', 'L', 'J', 'Biol', 'Chem', '248:901-914(1973)  [PubMed] [Europe PMC] [Abstract]Cited for: FUNCTION, BIOPHYSICOCHEMICAL PROPERTIES, ENZYME REGULATION', 'Ref', '9""The anthranilate aggregate of Escherichia coli: kinetics of inhibition by tryptophan of phosphoribosyltransferase']",,7.8,25,,P00904,RF6,,
