Priority	dhap[c]	fdp[c]	g3p[c]	cit[c]	param_FBA1_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/haldaneRatio_1.txt"	0.00016
1	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/haldaneRatio_2.txt"	0.00016
1	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/haldaneRatio_2.txt"	0.00016
1	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/haldaneRatio_2.txt"	0.00016
1	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/haldaneRatio_2.txt"	0.00016
1	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/haldaneRatio_2.txt"	0.00016
1	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/haldaneRatio_2.txt"	0.00016
1	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/haldaneRatio_2.txt"	0.00016
1	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/haldaneRatio_2.txt"	0.00016
1	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/haldaneRatio_2.txt"	0.00016
1	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/haldaneRatio_2.txt"	0.00016
1	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/haldaneRatio_2.txt"	0.00016
1	0	2.0000000000000003e-6	0	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/relRateFor_fdp.txt"	0.09090909090909091
1	0	3.1697863849222286e-6	0	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/relRateFor_fdp.txt"	0.13680688860321005
1	0	5.023772863019165e-6	0	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/relRateFor_fdp.txt"	0.20076000891310186
1	0	7.96214341106994e-6	0	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/relRateFor_fdp.txt"	0.2847472489508013
1	0	0.000012619146889603861	0	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/relRateFor_fdp.txt"	0.3868631798468569
1	0	0.00002	0	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/relRateFor_fdp.txt"	0.49999999999999994
1	0	0.00003169786384922229	0	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/relRateFor_fdp.txt"	0.6131368201531432
1	0	0.00005023772863019165	0	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/relRateFor_fdp.txt"	0.7152527510491988
1	0	0.00007962143411069939	0	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/relRateFor_fdp.txt"	0.7992399910868981
1	0	0.0001261914688960386	0	0	1	8	30	"/home/mrama/Dropbox/MASSef/examples/FBA1/fit_FBA1/input/relRateFor_fdp.txt"	0.86319311139679
