Priority	adp[c]	atp[c]	f6p[c]	fdp[c]	param_PFK2_total	param_pH	param_Temp	FileFlag	Target_Data
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/haldaneRatio_1.txt"	7304.795082
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/haldaneRatio_1.txt"	7304.795082
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/haldaneRatio_1.txt"	7304.795082
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/haldaneRatio_1.txt"	7304.795082
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/haldaneRatio_1.txt"	7304.795082
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/haldaneRatio_1.txt"	7304.795082
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/haldaneRatio_1.txt"	7304.795082
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/haldaneRatio_1.txt"	7304.795082
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/haldaneRatio_1.txt"	7304.795082
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/haldaneRatio_1.txt"	7304.795082
10	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/haldaneRatio_1.txt"	7304.795082
1	0	8.000000000000003e-7	1	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_atp.txt"	0.09090909090909094
1	0	1.267914553968892e-6	1	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_atp.txt"	0.1368068886032101
1	0	2.0095091452076667e-6	1	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_atp.txt"	0.20076000891310197
1	0	3.1848573644279767e-6	1	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_atp.txt"	0.28474724895080133
1	0	5.047658755841546e-6	1	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_atp.txt"	0.386863179846857
1	0	8.000000000000003e-6	1	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_atp.txt"	0.5000000000000001
1	0	0.000012679145539688918	1	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_atp.txt"	0.6131368201531432
1	0	0.000020095091452076665	1	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_atp.txt"	0.7152527510491988
1	0	0.000031848573644279767	1	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_atp.txt"	0.7992399910868982
1	0	0.00005047658755841546	1	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_atp.txt"	0.86319311139679
1	0	0.00008000000000000003	1	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_atp.txt"	0.9090909090909091
1	0	1	6.000000000000003e-7	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_f6p.txt"	0.09090909090909095
1	0	1	9.50935915476669e-7	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_f6p.txt"	0.1368068886032101
1	0	1	1.50713185890575e-6	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_f6p.txt"	0.20076000891310194
1	0	1	2.388643023320983e-6	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_f6p.txt"	0.2847472489508014
1	0	1	3.78574406688116e-6	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_f6p.txt"	0.38686317984685703
1	0	1	6.000000000000003e-6	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PFK2_MASSpy_typeII/input/relRateFor_f6p.txt"	0.5000000000000001
