Priority	dhap[c]	glyc3p[c]	nadp[c]	nadph[c]	param_G3PD2_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	0	0	1	7.5	25	"C:\MASSef\examples\fit_G3PD2_typeI\input\haldaneRatio_1.txt"	0.000024
1	0	0	0	0	1	7.5	25	"C:\MASSef\examples\fit_G3PD2_typeI\input\haldaneRatio_1.txt"	0.000024
1	0	0	0	0	1	7.5	25	"C:\MASSef\examples\fit_G3PD2_typeI\input\haldaneRatio_1.txt"	0.000024
1	0	0	0	0	1	7.5	25	"C:\MASSef\examples\fit_G3PD2_typeI\input\haldaneRatio_1.txt"	0.000024
1	0	0	0	0	1	7.5	25	"C:\MASSef\examples\fit_G3PD2_typeI\input\haldaneRatio_1.txt"	0.000024
1	0	0	0	0	1	7.5	25	"C:\MASSef\examples\fit_G3PD2_typeI\input\haldaneRatio_1.txt"	0.000024
1	0	0	0	0	1	7.5	25	"C:\MASSef\examples\fit_G3PD2_typeI\input\haldaneRatio_1.txt"	0.000024
1	0	0	0	0	1	7.5	25	"C:\MASSef\examples\fit_G3PD2_typeI\input\haldaneRatio_1.txt"	0.000024
1	0	0	0	0	1	7.5	25	"C:\MASSef\examples\fit_G3PD2_typeI\input\haldaneRatio_1.txt"	0.000024
1	0	0	0	0	1	7.5	25	"C:\MASSef\examples\fit_G3PD2_typeI\input\haldaneRatio_1.txt"	0.000024
1	0	0	0	0	1	7.5	25	"C:\MASSef\examples\fit_G3PD2_typeI\input\haldaneRatio_1.txt"	0.000024
1	0.01	0	0	3.400000000000002e-7	1	7.4	23	"C:\MASSef\examples\fit_G3PD2_typeI\input\relRateRev_nadph.txt"	0.09090909090909097
1	0.01	0	0	5.388636854367791e-7	1	7.4	23	"C:\MASSef\examples\fit_G3PD2_typeI\input\relRateRev_nadph.txt"	0.1368068886032101
1	0.01	0	0	8.540413867132584e-7	1	7.4	23	"C:\MASSef\examples\fit_G3PD2_typeI\input\relRateRev_nadph.txt"	0.20076000891310194
1	0.01	0	0	1.3535643798818904e-6	1	7.4	23	"C:\MASSef\examples\fit_G3PD2_typeI\input\relRateRev_nadph.txt"	0.2847472489508014
1	0.01	0	0	2.1452549712326573e-6	1	7.4	23	"C:\MASSef\examples\fit_G3PD2_typeI\input\relRateRev_nadph.txt"	0.386863179846857
1	0.01	0	0	3.4000000000000018e-6	1	7.4	23	"C:\MASSef\examples\fit_G3PD2_typeI\input\relRateRev_nadph.txt"	0.5000000000000001
1	0.01	0	0	5.388636854367791e-6	1	7.4	23	"C:\MASSef\examples\fit_G3PD2_typeI\input\relRateRev_nadph.txt"	0.6131368201531433
1	0.01	0	0	8.540413867132584e-6	1	7.4	23	"C:\MASSef\examples\fit_G3PD2_typeI\input\relRateRev_nadph.txt"	0.7152527510491989
1	0.01	0	0	0.000013535643798818902	1	7.4	23	"C:\MASSef\examples\fit_G3PD2_typeI\input\relRateRev_nadph.txt"	0.7992399910868982
1	0.01	0	0	0.000021452549712326573	1	7.4	23	"C:\MASSef\examples\fit_G3PD2_typeI\input\relRateRev_nadph.txt"	0.86319311139679
1	0.01	0	0	0.00003400000000000002	1	7.4	23	"C:\MASSef\examples\fit_G3PD2_typeI\input\relRateRev_nadph.txt"	0.9090909090909091
1	0.000018000000000000017	0	0	0.01	1	7.4	23	"C:\MASSef\examples\fit_G3PD2_typeI\input\relRateRev_dhap.txt"	0.09090909090909098
1	0.00002852807746430008	0	0	0.01	1	7.4	23	"C:\MASSef\examples\fit_G3PD2_typeI\input\relRateRev_dhap.txt"	0.13680688860321016
1	0.00004521395576717252	0	0	0.01	1	7.4	23	"C:\MASSef\examples\fit_G3PD2_typeI\input\relRateRev_dhap.txt"	0.200760008913102
