Priority	3pg[c]	3php[c]	nad[c]	nadh[c]	param_PGCD_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_typeII/input/haldaneRatio_1.txt"	3.9e-6
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_typeII/input/haldaneRatio_1.txt"	3.9e-6
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_typeII/input/haldaneRatio_1.txt"	3.9e-6
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_typeII/input/haldaneRatio_1.txt"	3.9e-6
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_typeII/input/haldaneRatio_1.txt"	3.9e-6
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_typeII/input/haldaneRatio_1.txt"	3.9e-6
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_typeII/input/haldaneRatio_1.txt"	3.9e-6
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_typeII/input/haldaneRatio_1.txt"	3.9e-6
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_typeII/input/haldaneRatio_1.txt"	3.9e-6
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_typeII/input/haldaneRatio_1.txt"	3.9e-6
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_typeII/input/haldaneRatio_1.txt"	3.9e-6
1	0	0.00009	0	0.000012000000000000007	1	7.1	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_typeII/input/relRateRev_nadh.txt"	0.09090909090909095
1	0	0.00009	0	0.00001901871830953338	1	7.1	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_typeII/input/relRateRev_nadh.txt"	0.13680688860321014
1	0	0.00009	0	0.000030142637178115006	1	7.1	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_typeII/input/relRateRev_nadh.txt"	0.20076000891310197
1	0	0.00009	0	0.00004777286046641966	1	7.1	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_typeII/input/relRateRev_nadh.txt"	0.28474724895080133
1	0	0.00009	0	0.0000757148813376232	1	7.1	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_typeII/input/relRateRev_nadh.txt"	0.386863179846857
1	0	0.00009	0	0.00012000000000000008	1	7.1	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_typeII/input/relRateRev_nadh.txt"	0.5000000000000002
1	0	0.00009	0	0.00019018718309533382	1	7.1	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_typeII/input/relRateRev_nadh.txt"	0.6131368201531432
1	0	0.00009	0	0.00030142637178115007	1	7.1	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_typeII/input/relRateRev_nadh.txt"	0.7152527510491989
