Priority	3psme[c]	pep[c]	pi[c]	skm5p[c]	param_PSCVT_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\haldaneRatio_1.txt"	147
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\haldaneRatio_1.txt"	147
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\haldaneRatio_1.txt"	147
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\haldaneRatio_1.txt"	147
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\haldaneRatio_1.txt"	147
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\haldaneRatio_1.txt"	147
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\haldaneRatio_1.txt"	147
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\haldaneRatio_1.txt"	147
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\haldaneRatio_1.txt"	147
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\haldaneRatio_1.txt"	147
1	0	0	0	0	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\haldaneRatio_1.txt"	147
1	0	1	0	0.000014000000000000005	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\relRateFor_skm5p.txt"	0.09090909090909094
1	0	1	0	0.000022188504694455605	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\relRateFor_skm5p.txt"	0.1368068886032101
1	0	1	0	0.00003516641004113416	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\relRateFor_skm5p.txt"	0.20076000891310194
1	0	1	0	0.00005573500387748959	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\relRateFor_skm5p.txt"	0.28474724895080133
1	0	1	0	0.00008833402822722705	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\relRateFor_skm5p.txt"	0.3868631798468569
1	0	1	0	0.00014000000000000004	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\relRateFor_skm5p.txt"	0.5000000000000001
1	0	1	0	0.00022188504694455605	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\relRateFor_skm5p.txt"	0.6131368201531433
1	0	1	0	0.00035166410041134164	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\relRateFor_skm5p.txt"	0.7152527510491988
1	0	1	0	0.0005573500387748965	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\relRateFor_skm5p.txt"	0.7992399910868984
1	0	1	0	0.0008833402822722705	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\relRateFor_skm5p.txt"	0.8631931113967901
1	0	1	0	0.0014000000000000004	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\relRateFor_skm5p.txt"	0.9090909090909092
1	0	0.00001600000000000001	0	1	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\relRateFor_pep.txt"	0.09090909090909095
1	0	0.00002535829107937784	0	1	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\relRateFor_pep.txt"	0.13680688860321008
1	0	0.00004019018290415334	0	1	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\relRateFor_pep.txt"	0.20076000891310194
1	0	0.00006369714728855955	0	1	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\relRateFor_pep.txt"	0.28474724895080133
1	0	0.00010095317511683093	0	1	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\relRateFor_pep.txt"	0.386863179846857
1	0	0.0001600000000000001	0	1	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\relRateFor_pep.txt"	0.5000000000000001
1	0	0.0002535829107937784	0	1	1	7.5	25	"C:\MASSef\Enzyme\PSCVT\fit_GAPD_typeII\input\relRateFor_pep.txt"	0.6131368201531433
