Priority	f6p[c]	fdp[c]	pi[c]	param_FBP2_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/haldaneRatio_1.txt"	41.5
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/haldaneRatio_1.txt"	41.5
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/haldaneRatio_1.txt"	41.5
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/haldaneRatio_1.txt"	41.5
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/haldaneRatio_1.txt"	41.5
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/haldaneRatio_1.txt"	41.5
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/haldaneRatio_1.txt"	41.5
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/haldaneRatio_1.txt"	41.5
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/haldaneRatio_1.txt"	41.5
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/haldaneRatio_1.txt"	41.5
1	0	0	0	1	7.5	25	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/haldaneRatio_1.txt"	41.5
1	0	7.000000000000002e-6	0	1	9	37	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/relRateFor_fdp.txt"	0.00883377824981335
1	0	0.000011094252347227801	0	1	9	37	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/relRateFor_fdp.txt"	0.022395622457170455
1	0	0.00001758320502056708	0	1	9	37	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/relRateFor_fdp.txt"	0.055609816758203534
1	0	0.000027867501938744792	0	1	9	37	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/relRateFor_fdp.txt"	0.1314590000241482
1	0	0.000044167014113613516	0	1	9	37	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/relRateFor_fdp.txt"	0.28008099405284803
1	0	0.00007000000000000002	0	1	9	37	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/relRateFor_fdp.txt"	0.5000000000000001
1	0	0.00011094252347227801	0	1	9	37	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/relRateFor_fdp.txt"	0.7199190059471522
1	0	0.0001758320502056708	0	1	9	37	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/relRateFor_fdp.txt"	0.8685409999758519
1	0	0.0002786750193874482	0	1	9	37	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/relRateFor_fdp.txt"	0.9443901832417967
1	0	0.0004416701411361352	0	1	9	37	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/relRateFor_fdp.txt"	0.9776043775428295
1	0	0.0007000000000000001	0	1	9	37	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/relRateFor_fdp.txt"	0.9911662217501868
1	0	1	0	1	9	37	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/absRateFor.txt"	5.7
1	0	1	0	1	9	37	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/absRateFor.txt"	5.7
1	0	1	0	1	9	37	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/absRateFor.txt"	5.7
1	0	1	0	1	9	37	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/absRateFor.txt"	5.7
1	0	1	0	1	9	37	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/absRateFor.txt"	5.7
1	0	1	0	1	9	37	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/absRateFor.txt"	5.7
1	0	1	0	1	9	37	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/absRateFor.txt"	5.7
1	0	1	0	1	9	37	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/absRateFor.txt"	5.7
1	0	1	0	1	9	37	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/absRateFor.txt"	5.7
1	0	1	0	1	9	37	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/absRateFor.txt"	5.7
1	0	1	0	1	9	37	"/home/mrama/Dropbox/MASSef/examples/FBP2/fit_FBP2/input/absRateFor.txt"	5.7
