Priority	3dhq[c]	3dhsk[c]	param_DHQTi_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	1	7.5	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\haldaneRatio_1.txt"	8.46
1	0	0	1	7.5	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\haldaneRatio_1.txt"	8.46
1	0	0	1	7.5	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\haldaneRatio_1.txt"	8.46
1	0	0	1	7.5	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\haldaneRatio_1.txt"	8.46
1	0	0	1	7.5	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\haldaneRatio_1.txt"	8.46
1	0	0	1	7.5	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\haldaneRatio_1.txt"	8.46
1	0	0	1	7.5	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\haldaneRatio_1.txt"	8.46
1	0	0	1	7.5	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\haldaneRatio_1.txt"	8.46
1	0	0	1	7.5	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\haldaneRatio_1.txt"	8.46
1	0	0	1	7.5	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\haldaneRatio_1.txt"	8.46
1	0	0	1	7.5	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\haldaneRatio_1.txt"	8.46
1	1.8000000000000016e-6	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.09090909090909097
1	2.852807746430008e-6	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.13680688860321016
1	4.521395576717252e-6	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.20076000891310203
1	7.165929069962951e-6	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.28474724895080145
1	0.000011357232200643484	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.3868631798468571
1	0.000018000000000000017	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.5000000000000002
1	0.00002852807746430008	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.6131368201531433
1	0.00004521395576717252	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.7152527510491989
1	0.00007165929069962952	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.7992399910868982
1	0.00011357232200643484	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.8631931113967901
1	0.00018000000000000017	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.9090909090909092
1	1.7000000000000007e-6	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.09090909090909094
1	2.6943184271838953e-6	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.1368068886032101
1	4.270206933566291e-6	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.20076000891310194
1	6.76782189940945e-6	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.28474724895080133
1	0.000010726274856163285	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.3868631798468569
1	0.000017000000000000007	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.5000000000000001
1	0.00002694318427183895	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.6131368201531432
1	0.000042702069335662915	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.7152527510491988
1	0.0000676782189940945	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.7992399910868981
1	0.00010726274856163285	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.86319311139679
1	0.00017000000000000007	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.9090909090909091
1	2.0699999999999984e-6	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.09090909090909084
1	3.2807289083945035e-6	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.13680688860320994
1	5.199604913224831e-6	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.20076000891310178
1	8.240818430457395e-6	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.28474724895080145
1	0.000013060817030739983	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.38686317984685664
1	0.00002069999999999998	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.4999999999999999
1	0.000032807289083945034	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.613136820153143
1	0.00005199604913224831	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.7152527510491986
1	0.00008240818430457396	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.7992399910868982
1	0.00013060817030739985	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.86319311139679
1	0.00020699999999999983	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.909090909090909
1	2.0499999999999994e-6	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.09090909090909088
1	3.249031044545283e-6	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.13680688860321003
1	5.149367184594642e-6	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.20076000891310183
1	8.161196996346685e-6	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.28474724895080117
1	0.000012934625561843954	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.3868631798468568
1	0.000020499999999999997	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.5
1	0.000032490310445452835	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.6131368201531431
1	0.00005149367184594642	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.7152527510491987
1	0.00008161196996346685	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.7992399910868981
1	0.00012934625561843955	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.8631931113967899
1	0.00020499999999999994	0	1	7	25	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\relRateFor_3dhq.txt"	0.9090909090909091
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	405.3794964687331
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	405.3794964687331
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	405.3794964687331
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	405.3794964687331
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	405.3794964687331
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	405.3794964687331
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	405.3794964687331
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	405.3794964687331
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	405.3794964687331
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	405.3794964687331
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	405.3794964687331
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	426.39917406340817
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	426.39917406340817
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	426.39917406340817
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	426.39917406340817
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	426.39917406340817
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	426.39917406340817
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	426.39917406340817
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	426.39917406340817
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	426.39917406340817
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	426.39917406340817
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	426.39917406340817
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	450.4216627430368
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	450.4216627430368
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	450.4216627430368
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	450.4216627430368
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	450.4216627430368
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	450.4216627430368
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	450.4216627430368
1	1	0	1	7	37	"C:\MASSef\Enzyme\DHQTi\fit_DHQTi_typeII\input\absRateFor.txt"	450.4216627430368
