Priority	adp[c]	atp[c]	skm[c]	skm5p[c]	param_SHKK_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/haldaneRatio_1.txt"	8.3
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/haldaneRatio_1.txt"	8.3
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/haldaneRatio_1.txt"	8.3
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/haldaneRatio_1.txt"	8.3
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/haldaneRatio_1.txt"	8.3
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/haldaneRatio_1.txt"	8.3
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/haldaneRatio_1.txt"	8.3
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/haldaneRatio_1.txt"	8.3
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/haldaneRatio_1.txt"	8.3
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/haldaneRatio_1.txt"	8.3
1	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/haldaneRatio_1.txt"	8.3
1	0	0.00001600000000000001	1	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/relRateFor_atp.txt"	0.09090909090909095
1	0	0.00002535829107937784	1	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/relRateFor_atp.txt"	0.13680688860321008
1	0	0.00004019018290415334	1	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/relRateFor_atp.txt"	0.20076000891310194
1	0	0.00006369714728855955	1	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/relRateFor_atp.txt"	0.28474724895080133
1	0	0.00010095317511683093	1	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/relRateFor_atp.txt"	0.386863179846857
1	0	0.0001600000000000001	1	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/relRateFor_atp.txt"	0.5000000000000001
1	0	0.0002535829107937784	1	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/relRateFor_atp.txt"	0.6131368201531433
1	0	0.00040190182904153337	1	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/relRateFor_atp.txt"	0.7152527510491988
1	0	0.0006369714728855961	1	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/relRateFor_atp.txt"	0.7992399910868984
1	0	0.0010095317511683093	1	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/relRateFor_atp.txt"	0.86319311139679
1	0	0.001600000000000001	1	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/relRateFor_atp.txt"	0.9090909090909092
1	0	1	0.00002	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/relRateFor_skm.txt"	0.09090909090909091
1	0	1	0.00003169786384922229	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/relRateFor_skm.txt"	0.13680688860321008
1	0	1	0.00005023772863019165	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/relRateFor_skm.txt"	0.2007600089131019
1	0	1	0.00007962143411069939	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/relRateFor_skm.txt"	0.2847472489508013
1	0	1	0.0001261914688960386	0	1	7	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_SHKK_typeII/input/relRateFor_skm.txt"	0.38686317984685686
